1001,1,1,1,0,1,1,0
1002,1,1,1,0,0,1,0
1003,0,1,1,0,0,0,0
1004,0,0,1,0,0,0,0
1005,0,1,1,0,0,0,0
1103,0,1,1,0,0,0,1
0218,0,1,1,0,0,0,1
0219,0,1,1,0,0,0,1
0501,1,1,1,0,1,1,0
0502,1,1,1,0,1,0,1
0503,1,1,1,0,1,1,0
0504,1,0,1,0,1,0,1
0505,1,0,1,0,1,0,1
0506,1,1,1,0,1,1,0
0601,1,1,1,0,1,1,1
0602,1,1,1,0,1,0,0
0603,1,1,1,0,0,1,0
0604,1,1,1,0,1,1,0
0701,1,1,0,1,1,0,1
0702,1,1,1,1,1,0,0
0703,0,0,1,1,1,1,1
0704,1,0,1,1,1,1,1
0705,1,0,0,1,1,1,0
0801,0,1,0,1,0,1,0
0802,1,1,0,1,0,0,0
0803,1,0,1,1,1,0,1
